URL,star_rating,ratings
https://www.amazon.in/dp/B0BSQNT3B2,5_star,38%
https://www.amazon.in/dp/B0BSQNT3B2,4_star,15%
https://www.amazon.in/dp/B0BSQNT3B2,3_star,8%
https://www.amazon.in/dp/B0BSQNT3B2,2_star,10%
https://www.amazon.in/dp/B0BSQNT3B2,1_star,29%
https://www.amazon.in/dp/B08W29FFB9,5_star,46%
https://www.amazon.in/dp/B08W29FFB9,4_star,26%
https://www.amazon.in/dp/B08W29FFB9,3_star,10%
https://www.amazon.in/dp/B08W29FFB9,2_star,4%
https://www.amazon.in/dp/B08W29FFB9,1_star,14%
https://www.amazon.in/dp/B011ITB1UE,5_star,36%
https://www.amazon.in/dp/B011ITB1UE,4_star,22%
https://www.amazon.in/dp/B011ITB1UE,3_star,15%
https://www.amazon.in/dp/B011ITB1UE,2_star,7%
https://www.amazon.in/dp/B011ITB1UE,1_star,20%
https://www.amazon.in/dp/B00T7N2R1Q,5_star,37%
https://www.amazon.in/dp/B00T7N2R1Q,4_star,26%
https://www.amazon.in/dp/B00T7N2R1Q,3_star,13%
https://www.amazon.in/dp/B00T7N2R1Q,2_star,6%
https://www.amazon.in/dp/B00T7N2R1Q,1_star,18%
https://www.amazon.in/dp/B0CL43LKKX,2_star,100%
https://www.amazon.in/dp/B07P1C8SM5,5_star,34%
https://www.amazon.in/dp/B07P1C8SM5,4_star,18%
https://www.amazon.in/dp/B07P1C8SM5,3_star,8%
https://www.amazon.in/dp/B07P1C8SM5,2_star,7%
https://www.amazon.in/dp/B07P1C8SM5,1_star,33%
https://www.amazon.in/dp/B08W29CCCW,5_star,40%
https://www.amazon.in/dp/B08W29CCCW,4_star,26%
https://www.amazon.in/dp/B08W29CCCW,3_star,12%
https://www.amazon.in/dp/B08W29CCCW,2_star,5%
https://www.amazon.in/dp/B08W29CCCW,1_star,18%
https://www.amazon.in/dp/B07N95J5K7,5_star,47%
https://www.amazon.in/dp/B07N95J5K7,4_star,25%
https://www.amazon.in/dp/B07N95J5K7,3_star,9%
https://www.amazon.in/dp/B07N95J5K7,2_star,4%
https://www.amazon.in/dp/B07N95J5K7,1_star,15%
https://www.amazon.in/dp/B07N93SYNQ,5_star,47%
https://www.amazon.in/dp/B07N93SYNQ,4_star,25%
https://www.amazon.in/dp/B07N93SYNQ,3_star,9%
https://www.amazon.in/dp/B07N93SYNQ,2_star,4%
https://www.amazon.in/dp/B07N93SYNQ,1_star,15%
https://www.amazon.in/dp/B01DPL9B00,5_star,44%
https://www.amazon.in/dp/B01DPL9B00,4_star,28%
https://www.amazon.in/dp/B01DPL9B00,3_star,11%
https://www.amazon.in/dp/B01DPL9B00,2_star,4%
https://www.amazon.in/dp/B01DPL9B00,1_star,13%
